id,truth,code
1_5_3_0_0_0_0_0,1,"<activity android:windowSoftInputMode=""stateVisible|adjustResize"" . . . >"
1_5_16_0_0_0_0_0,2,<permission-group android:
1_5_23_0_0_0_0_0,2,<uses-configuration>@>  android:
3643,2,<uses-permission android:
1_6_2_0_0_3_3_0,1,">@>override fun onRequestPermissionsResult(requestCode: Int,>@>        permissions: Array<String>, grantResults: IntArray) {>@>    when (requestCode) {>@>        MY_PERMISSIONS_REQUEST_READ_CONTACTS -> {>@>            // If request is cancelled, the result arrays are empty.>@>            if ((grantResults.isNotEmpty() && grantResults[0] == PackageManager.PERMISSION_GRANTED)) {>@>                // permission was granted, yay! Do the>@>                // contacts-related task you need to do.>@>            } else {>@>                // permission denied, boo! Disable the>@>                // functionality that depends on this permission.>@>            }>@>            return>@>        }>@>>@>        // Add other 'when' lines to check for other>@>        // permissions this app might request.>@>        else -> {>@>            // Ignore all other requests.>@>        }>@>    }>@>}>@>"
1_7_3_0_0_2_5_0,1,>@>res/layout/main_activity.xml           # For handsets (smaller than 640dp x 480dp)>@>res/layout-
1_7_7_2_0_5_0_0,1,">@><manifest xmlns:android=""http://schemas.android.com/apk/res/android"">@>    android:versionCode=""07001"" android:versionName=""1.0"" package=""com.example.foo"">>@>    <uses-sdk android:minSdkVersion=""7"" />>@>    ...>@>"
1_7_7_3_0_5_0_0,1,">@><manifest xmlns:android=""http://schemas.android.com/apk/res/android"">@>    android:versionCode=""1001"" android:versionName=""1.0"" package=""com.example.foo"">>@>    <supports-screens android:smallScreens=""true"">@>        android:normalScreens=""true"">@>        android:largeScreens=""true"">@>        android:xlargeScreens=""true"" />>@>    ...>@>"
1_7_7_3_0_6_0_0,1,>@>>aapt dump badging>@>package: name='com.example.hello' versionCode='1' versionName='1.0'>@>sdkVersion:'11'>@>uses-permission:'android.permission.SEND_SMS'>@>application-label:'Hello'>@>application-icon-120:'res/drawable-ldpi/icon.png'>@>application-icon-160:'res/drawable-mdpi/icon.png'>@>application-icon-240:'res/drawable-hdpi/icon.png'>@>application: label='Hello' icon='res/drawable-mdpi/icon.png'>@>launchable-activity: name='com.example.hello.HelloActivity'  label='Hello' icon=''>@>uses-feature:'android.hardware.telephony'>@>uses-feature:'android.hardware.touchscreen'>@>main>@>supports-screens: 'xlarge'>@>supports-any-density: 'true'>@>locales: '--_--'>@>densities: '120' '160' '240'>@>
1_7_7_4_0_5_0_0,1,">@><manifest xmlns:android=""http://schemas.android.com/apk/res/android"">@>    android:versionCode=""1001"" android:versionName=""1.0"" package=""com.example.foo"">>@>    <supports-gl-texture android:name=""GL_OES_compressed_ETC1_RGB8_texture"" />>@>    ...>@>"
1_7_7_5_0_6_0_0,1,">@><uses-feature android:name=""android.hardware.telephony"" android:required=""false"" />>@>"
1_7_8_0_0_2_0_0,2,>@>// Get a string resource from your app's 
1_7_8_0_0_2_0_0,1,">@><ImageView>@>    android:layout_width=""wrap_content"">@>    android:layout_height=""wrap_content"">@>    android:src=""@mipmap/country_flag"" />>@>"
1_7_9_0_0_2_0_0,1,>@>private void setUpActionBar() {>@>    // Make sure we're running on Honeycomb or higher to use ActionBar APIs>@>    if (Build.VERSION.SDK_INT >= Build.VERSION_CODES.HONEYCOMB) {>@>        ActionBar actionBar = getActionBar();>@>        actionBar.setDisplayHomeAsUpEnabled(true);>@>    }>@>}>@>
1_8_2_4_0_2_1_0,1,">@>BridgingManager.fromContext(context).setConfig(>@>  new BridgingConfig.Builder(context, false)>@>    .build());>@>"
6828,1,">@>// Configure sign-in to request the user's ID, email address, and basic>@>// profile. The ID and basic profile are included in DEFAULT_SIGN_IN.>@>// If you need to request additional scopes to access Google APIs, specify them with>@>// requestScopes().>@>GoogleSignInOptions.Builder signInConfigBuilder = new GoogleSignInOptions>@>        .Builder(GoogleSignInOptions.DEFAULT_SIGN_IN)>@>        .requestEmail()>@>        .build();>@>>@>// Build a GoogleApiClient with access to the Google Sign-In API and the>@>// options specified in the sign-in configuration.>@>mGoogleApiClient = new GoogleApiClient.Builder(this)>@>        .enableAutoManage(this /* FragmentActivity */, this /OnConnectionFailedListener */)>@>        .addApi(Auth.GOOGLE_SIGN_IN_API, signInConfigBuilder)>@>        .build();>@>"
6831,1,">@>Intent signInIntent = Auth.GoogleSignInApi.getSignInIntent(mGoogleApiClient);>@>startActivityForResult(signInIntent, RC_SIGN_IN);>@>"
1_8_3_6_0_1_2_3,1,">@>@Override>@>public void onActivityResult(int requestCode, int resultCode, Intent data) {>@>    super.onActivityResult(requestCode, resultCode, data);>@>>@>    // Result returned from launching the Intent from GoogleSignInApi.getSignInIntent(...)>@>    if (requestCode == RC_SIGN_IN) {>@>        GoogleSignInResult signInResult = Auth.GoogleSignInApi.getSignInResultFromIntent(data);>@>        if (signInResult.isSuccess()) {>@>            GoogleSignInAccount acct = signInResult.getSignInAccount();>@>>@>            // Get account information>@>            mFullName = acct.getDisplayName();>@>            mGivenName = acct.getGivenName();>@>            mFamilyName = acct.getFamilyName();>@>            mEmail = acct.getEmail();>@>        }>@>    }>@>}>@>"
1_8_3_6_0_2_2_3,2,">@>private class MyOAuthCallback extends OAuthClient.Callback {>@>    @Override>@>    public void onAuthorizationResponse(Uri requestUrl, Uri responseUrl) {>@>        super.onAuthorizationResponse(requestUrl, responseUrl);>@>        Runnable r =>@>            new Runnable() {>@>                public void run() {>@>                    acquireToken();>@>                    accessAPI();>@>                }>@>            };>@>    }>@>}>@>"
1_8_3_8_0_2_0_0,1,>@>android {>@>  ...>@>  defaultConfig {>@>    ...>@>    wearAppUnbundled true>@>  }>@>}>@>
1_8_3_11_0_1_0_2,1,>@>dependencies {>@>    ...>@>>@>    compile 'com.google.android.gms:play-services-wearable:10.2.0'>@>>@>    ...>@>>@>}>@>
1_8_4_2_0_3_3_0,1,">@>private int mChinSize;>@>protected void onCreate(Bundle savedInstanceState) {>@>    super.onCreate(savedInstanceState);>@>    setContentView(R.layout.activity_main);>@>    // find the outermost element>@>    final View container = findViewById(R.id.outer_container);>@>    // attach a View.OnApplyWindowInsetsListener>@>    container.setOnApplyWindowInsetsListener(new View.OnApplyWindowInsetsListener() {>@>        @Override>@>        public WindowInsets onApplyWindowInsets(View v, WindowInsets insets) {>@>            mChinSize = insets.getSystemWindowInsetBottom();>@>            // The following line is important for inner elements which react to insets>@>            v.onApplyWindowInsets(insets);>@>            return insets;>@>        }>@>    });>@>}>@>"
1_8_4_3_0_1_0_0,1,>@>import android.os.Bundle;>@>import android.app.Activity;>@>import android.support.wear.widget.WearableRecyclerView>@>>@>public class MainActivity extends Activity {>@>    @Override>@>    public void onCreate(Bundle savedInstanceState) {>@>        super.onCreate(savedInstanceState);>@>        setContentView(R.layout.activity_main);>@>    }>@>>@>    ...>@>}>@>
1_8_4_9_0_2_0_0,2,">@>myView.setOnGenericMotionListener(new View.OnGenericMotionListener() {>@>    @Override>@>    public boolean onGenericMotion(View v, MotionEvent ev) {>@>        if (ev.getAction() == MotionEvent.ACTION_SCROLL && RotaryEncoder.isFromRotaryEncoder(ev)) {>@>            // Don't forget the negation here>@>            float delta = -RotaryEncoder.getRotaryAxisValue(ev) * RotaryEncoder.getScaledScrollFactor(>@>            getContext());>@>>@>            // Swap these axes if you want to do horizontal scrolling instead>@>            scrollBy(0, Math.round(delta));>@>>@>            return true;>@>        }>@>>@>        return false;>@>    }>@>});>@>"
1_8_5_2_0_2_5_0,1,">@>context.startActivity(new Intent(""com.google.android.clockwork.settings.connectivity.wifi.ADD_NETWORK_SETTINGS""));>@>"
7881,2,">@>JobInfo jobInfo = new JobInfo.Builder(MY_JOB_ID,>@>        new ComponentName(this, MyJobService.class))>@>        .setRequiredNetworkType(JobInfo.NETWORK_TYPE_UNMETERED)>@>        .setRequiresCharging(true)>@>        .setExtras(extras)>@>        .build();>@>((JobScheduler) getSystemService(JOB_SCHEDULER_SERVICE))>@>        .schedule(jobInfo);>@>"
7900,1,">@>WearableOptions options = new WearableOptions.Builder().setLooper(myLooper).build();>@>DataClient mDataClient = Wearable.getDataClient(context or activity, options);>@>"
1_8_5_7_0_2_2_0,1,">@><service android:name="".DataLayerListenerService"">>@>  <intent-filter>>@>      <action android:name=""com.google.android.gms.wearable.DATA_CHANGED"" />>@>      <data android:scheme=""wear"" android:host=""*"">@>               android:path=""/start-activity"" />>@>  </intent-filter>>@></service>>@>"
1_8_7_3_0_2_0_0,1,">@>class AnalogWatchFaceService : CanvasWatchFaceService() {>@>>@>    override fun onCreateEngine(): Engine {>@>        /* provide your watch face implementation */>@>        return Engine()>@>    }>@>>@>    /* implement service callback methods */>@>    inner class Engine : CanvasWatchFaceService.Engine() {>@>>@>        override fun onCreate(holder: SurfaceHolder) {>@>            super.onCreate(holder)>@>            /* initialize your watch face */>@>        }>@>>@>        override fun onPropertiesChanged(properties: Bundle?) {>@>            super.onPropertiesChanged(properties)>@>            /* get device features (burn-in, low-bit ambient) */>@>        }>@>>@>        override fun onTimeTick() {>@>            super.onTimeTick()>@>            /* the time changed */>@>        }>@>>@>        override fun onAmbientModeChanged(inAmbientMode: Boolean) {>@>            super.onAmbientModeChanged(inAmbientMode)>@>            /* the wearable switched between modes */>@>        }>@>>@>        override fun onDraw(canvas: Canvas, bounds: Rect) {>@>            /* draw your watch face */>@>        }>@>>@>        override fun onVisibilityChanged(visible: Boolean) {>@>            super.onVisibilityChanged(visible)>@>            /* the watch face became visible or invisible */>@>        }>@>    }>@>}>@>"
1_8_7_4_0_5_0_0,1,">@>override fun onDraw(canvas: Canvas, bounds: Rect) {>@>    val frameStartTimeMs: Long = SystemClock.elapsedRealtime()>@>>@>    // Drawing code here>@>>@>    if (shouldTimerBeRunning()) {>@>        var delayMs: Long = SystemClock.elapsedRealtime() - frameStartTimeMs>@>        delayMs = if (delayMs > INTERACTIVE_UPDATE_RATE_MS) {>@>            // This scenario occurs when drawing all of the components takes longer than an actual>@>            // frame. It may be helpful to log how many times this happens, so you can>@>            // fix it when it occurs.>@>            // In general, you don't want to redraw immediately, but on the next>@>            // appropriate frame (else block below).>@>            0>@>        } else {>@>            // Sets the delay as close as possible to the intended framerate.>@>            // Note that the recommended interactive update rate is 1 frame per second.>@>            // However, if you want to include the sweeping hand gesture, set the>@>            // interactive update rate up to 30 frames per second.>@>            INTERACTIVE_UPDATE_RATE_MS - delayMs>@>        }>@>        mUpdateTimeHandler.sendEmptyMessageDelayed(MSG_CODE_UPDATE_TIME, delayMs)>@>    }>@>}>@>"
8511,1,">@>          <meta-data>@>              android:name=""android.support.wearable.complications.PROVIDER_CONFIG_ACTION"">@>              android:value=""PROVIDER_CONFIG_ACTION""/>>@>"
1_8_7_8_0_1_0_0,1,>@>setWatchFaceStyle(new WatchFaceStyle.Builder(mService)>@>        .setAcceptsTapEvents(true)>@>        // other style customizations>@>        .build());>@>
1_8_7_8_0_2_0_0,2,">@>@Override>@>public void onTapCommand(>@>       @TapType int tapType, int x, int y, long eventTime) {>@>    switch (tapType) {>@>        case WatchFaceService.TAP_TYPE_TAP:>@>            hideTapHighlight();>@>            if (withinTapRegion(x, y)) {>@>                // Implement the tap action>@>                // (e.g. show detailed step count)>@>                onWatchFaceTap();>@>            }>@>            break;>@>>@>        case WatchFaceService.TAP_TYPE_TOUCH:>@>            if (withinTapRegion(x, y)) {>@>                // Provide visual feedback of touch event>@>                startTapHighlight(x, y, eventTime);>@>            }>@>            break;>@>>@>        case WatchFaceService.TAP_TYPE_TOUCH_CANCEL:>@>            hideTapHighlight();>@>            break;>@>>@>        default:>@>            super.onTapCommand(tapType, x, y, eventTime);>@>            break;>@>    }>@>}>@>"
1_9_2_3_0_2_4_0,1,">@>// Check if the telephony hardware feature is available.>@>if (getPackageManager().hasSystemFeature(PackageManager.FEATURE_TELEPHONY)) {>@>    Log.d(""HardwareFeatureTest"", ""Device can make phone calls"");>@>}>@>>@>// Check if android.hardware.touchscreen feature is available.>@>if (getPackageManager().hasSystemFeature(PackageManager.FEATURE_TOUCHSCREEN)) {>@>    Log.d(""HardwareFeatureTest"", ""Device has a touch screen."");>@>}>@>"
1_9_2_3_0_2_4_2,1,">@>// Check if the camera hardware feature is available.>@>if (getPackageManager().hasSystemFeature(PackageManager.FEATURE_CAMERA)) {>@>    Log.d(""Camera test"", ""Camera available!"");>@>} else {>@>    Log.d(""Camera test"", ""No camera available. View and edit features only."");>@>}>@>"
1_9_3_6_0_1_0_0,1,">@>mSession = new MediaSession(this, ""MusicService"");>@>mSession.setCallback(new MediaSessionCallback());>@>mSession.setFlags(MediaSession.FLAG_HANDLES_MEDIA_BUTTONS |>@>        MediaSession.FLAG_HANDLES_TRANSPORT_CONTROLS);>@>"
9761,1,">@>@Override>@>public Animator onCreateLogoAnimation() {>@>    return AnimatorInflater.loadAnimator(mContext,>@>            R.animator.onboarding_logo_screen_animation);>@>}>@>"
10065,1,">@>previewProgramVideoUri = Uri.withAppendedPath(PreviewPrograms.CONTENT_URI, ""content-identifier"")>@>       .buildUpon()>@>       .appendQueryParameter(""input"", TvContractCompat.buildInputId(componentName))>@>       .build();"
1_9_6_2_0_2_1_0,1,">@>@Override>@>public void onCreate() {>@>    super.onCreate();>@>    mHandlerThread = new HandlerThread(getClass()>@>      .getSimpleName());>@>    mHandlerThread.start();>@>    mDbHandler = new Handler(mHandlerThread.getLooper());>@>    mHandler = new Handler();>@>    mCaptioningManager = (CaptioningManager)>@>      getSystemService(Context.CAPTIONING_SERVICE);>@>>@>    setTheme(android.R.style.Theme_Holo_Light_NoActionBar);>@>>@>    mSessions = new ArrayList<BaseTvInputSessionImpl>();>@>    IntentFilter intentFilter = new IntentFilter();>@>    intentFilter.addAction(TvInputManager>@>      .ACTION_BLOCKED_RATINGS_CHANGED);>@>    intentFilter.addAction(TvInputManager>@>      .ACTION_PARENTAL_CONTROLS_ENABLED_CHANGED);>@>    registerReceiver(mBroadcastReceiver, intentFilter);>@>}>@>"
1_9_6_4_0_2_0_0,1,>@>@Override>@>public final Session onCreateSession(String inputId) {>@>    BaseTvInputSessionImpl session = onCreateSessionInternal(inputId);>@>    session.setOverlayViewEnabled(true);>@>    mSessions.add(session);>@>    return session;>@>}>@>
1_9_6_4_0_3_1_0,1,>@>@Override>@>public boolean onTune(Uri channelUri) {>@>    if (mSubtitleView != null) {>@>        mSubtitleView.setVisibility(View.INVISIBLE);>@>    }>@>    notifyVideoUnavailable(TvInputManager.VIDEO_UNAVAILABLE_REASON_TUNING);>@>    mUnblockedRatingSet.clear();>@>>@>    mDbHandler.removeCallbacks(mPlayCurrentProgramRunnable);>@>    mPlayCurrentProgramRunnable = new PlayCurrentProgramRunnable(channelUri);>@>    mDbHandler.post(mPlayCurrentProgramRunnable);>@>    return true;>@>}>@>
10532,1,>@>@Override>@>public void onDrawnToSurface(Surface surface) {>@>    mFirstFrameDrawn = true;>@>    notifyVideoAvailable();>@>}>@>
10614,1,">@><tv-input xmlns:android=""http://schemas.android.com/apk/res/android"">@>  "
1_10_3_0_0_3_0_0,1,">@>IntentFilter filter = new IntentFilter(""com.google.android.gms.car.media.STATUS"");>@>BroadcastReceiver receiver = new BroadcastReceiver() {>@>    ...>@>    public void onReceive(Context context, Intent intent) {>@>        String status = intent.getStringExtra(""media_connection_status"");>@>        boolean isConnectedToCar = ""media_connected"".equals(status);>@>        // adjust settings based on the connection status>@>    }>@>};>@>registerReceiver(receiver, filter);>@>"
10887,1,">@>public void onCreate() {>@>    super.onCreate();>@>>@>    ...>@>    // Start a new MediaSession>@>    MediaSessionCompat session = new MediaSessionCompat(this, ""session tag"");>@>    setSessionToken(session.getSessionToken());>@>>@>    // Set a callback object to handle play control requests, which>@>    // implements MediaSession.Callback>@>    session.setCallback(new MyMediaSessionCallback());>@>>@>    ...>@>"
11195,1,>@>$ mic play <sound_file_path>/<sound_file>.wav>@>
1_11_5_2_0_1_2_0,1,$ ~/Downloads/android-things-setup-utility/android-things-setup-utility-linux
1_11_5_3_0_1_1_0,1,$ sudo ~/Downloads/android-things-setup-utility/android-things-setup-utility-linux
14556,1,">@><activity android:name="".ExampleActivity"" android:icon=""@drawable/app_icon"">>@>    <intent-filter>>@>        <action android:name=""android.intent.action.SEND"" />>@>        <category android:name=""android.intent.category.DEFAULT"" />>@>        <data android:mimeType=""text/plain"" />>@>    </intent-filter>>@></activity>>@>"
1_13_2_0_0_4_3_0,1,>@>override fun onRestoreInstanceState(savedInstanceState: Bundle?) {>@>    // Always call the superclass so it can restore the view hierarchy>@>    super.onRestoreInstanceState(savedInstanceState)>@>>@>    // Restore state members from saved instance>@>    savedInstanceState?.run {>@>        currentScore = getInt(STATE_SCORE)>@>        currentLevel = getInt(STATE_LEVEL)>@>    }>@>}>@>
1_13_2_0_0_5_1_1,1,">@>Intent intent = new Intent(this, SignInActivity.class);>@>startActivity(intent);>@>"
1_13_2_0_0_5_1_1,1,">@>Intent intent = new Intent(Intent.ACTION_SEND);>@>intent.putExtra(Intent.EXTRA_EMAIL, recipientArray);>@>startActivity(intent);>@>"
1_13_7_0_0_7_0_0,1,"<LinearLayout xmlns:android=""http://schemas.android.com/apk/res/android"">@>    android:orientation=""horizontal"">@>    android:layout_width=""match_parent"" android:layout_height=""match_parent"">>@>>@>    <fragment class=""com.example.android.apis.app.FragmentLayout$TitlesFragment"">@>            android:id=""@+id/titles"" android:layout_weight=""1"">@>            android:layout_width=""0px"" android:layout_height=""match_parent"" />>@>>@>    <FrameLayout android:id=""@+id/details"" android:layout_weight=""1"">@>            android:layout_width=""0px"" android:layout_height=""match_parent"">@>            android:background=""?android:attr/detailsElementBackground"" />>@>>@></LinearLayout>"
15453,1,">@>public static class FragmentA extends ListFragment {>@>    OnArticleSelectedListener mListener;>@>    ...>@>    @Override>@>    public void onAttach(Context context) {>@>        super.onAttach(context);>@>        try {>@>            mListener = (OnArticleSelectedListener) context;>@>        } catch (ClassCastException e) {>@>            throw new ClassCastException(context.toString() + "" must implement OnArticleSelectedListener"");>@>        }>@>    }>@>    ...>@>}>@>"
1_13_7_1_0_7_0_0,1,"<LinearLayout xmlns:android=""http://schemas.android.com/apk/res/android"">@>    android:orientation=""horizontal"">@>    android:layout_width=""match_parent"" android:layout_height=""match_parent"">>@>>@>    <fragment class=""com.example.android.apis.app.FragmentLayout$TitlesFragment"">@>            android:id=""@+id/titles"" android:layout_weight=""1"">@>            android:layout_width=""0px"" android:layout_height=""match_parent"" />>@>>@>    <FrameLayout android:id=""@+id/details"" android:layout_weight=""1"">@>            android:layout_width=""0px"" android:layout_height=""match_parent"">@>            android:background=""?android:attr/detailsElementBackground"" />>@>>@></LinearLayout>"
15546,1,>@>import android.os.Bundle;>@>import android.support.v4.app.FragmentActivity;>@>>@>public class MainActivity extends FragmentActivity {>@>    @Override>@>    public void onCreate(Bundle savedInstanceState) {>@>        super.onCreate(savedInstanceState);>@>        setContentView(R.layout.news_articles);>@>    }>@>}>@>
1_13_7_3_0_1_0_0,1,">@><FrameLayout xmlns:android=""http://schemas.android.com/apk/res/android"">@>    android:id=""@+id/fragment_container"">@>    android:layout_width=""match_parent"">@>    android:layout_height=""match_parent"" />>@>"
15720,1,">@>@Override>@>protected void onActivityResult(int requestCode, int resultCode, Intent data) {>@>    // Check which request we're responding to>@>    if (requestCode == PICK_CONTACT_REQUEST) {>@>        // Make sure the request was successful>@>        if (resultCode == RESULT_OK) {>@>            // The user picked a contact.>@>            // The Intent's data Uri identifies which contact was selected.>@>>@>            // Do something with the contact here (bigger example below)>@>        }>@>    }>@>}>@>"
15752,1,">@><activity android:name=""ShareActivity"">>@>    <intent-filter>>@>        <action android:name=""android.intent.action.SEND""/>>@>        <category android:name=""android.intent.category.DEFAULT""/>>@>        <data android:mimeType=""text/plain""/>>@>        <data android:mimeType=""image/*""/>>@>    </intent-filter>>@></activity>>@>"
1_13_8_4_0_3_0_0,1,">@>// Create intent to deliver some kind of result data>@>Intent result = new Intent(""com.example.RESULT_ACTION"", Uri.parse(""content://result_uri""));>@>setResult(Activity.RESULT_OK, result);>@>finish();>@>"
1_13_9_2_0_2_0_0,1,>@>@Override>@>public void onCreate(Bundle savedInstanceState) {>@>    super.onCreate(savedInstanceState);>@>    setContentView(R.layout.main);>@>>@>    Intent intent = getIntent();>@>    String action = intent.getAction();>@>    Uri data = intent.getData();>@>}>@>
15976,2,">@>adb shell am start -a android.intent.action.VIEW \>@>    -c android.intent.category.BROWSABLE \>@>    -d ""http://"
1_13_9_3_0_4_5_0,1,>@>www.example.com>@>mobile.example.com>@>www.example2.com>@>account.example.com>@>
1_13_9_3_0_4_5_0,1,>@>map.example.com (it does not have android.intent.category.BROWSABLE)>@>market://example.com (it does not have either an 鈥渉ttp鈥?or 鈥渉ttps鈥?scheme)>@>
1_37_7_0_0_5_1_0,1,>@>public void onRemoveFromRecents(View view) {>@>    // The document is no longer needed; remove its task.>@>    finishAndRemoveTask();>@>}>@>
1_13_14_2_0_4_1_0,1,"<dimen name=""widget_margin"">8dp</dimen>"
16915,1,">@>RemoteViews views = new RemoteViews(context.getPackageName(),>@>R.layout.example_appwidget);>@>appWidgetManager.updateAppWidget(mAppWidgetId, views);>@>"
1_13_14_2_0_9_2_1,1,"<service android:name=""MyWidgetService"">@>...>@>android:permission=""android.permission.BIND_REMOTEVIEWS"" />"
1_13_14_3_0_1_1_0,2,">@>private static final int REQUEST_CREATE_APPWIDGET = 5;>@>private static final int REQUEST_PICK_APPWIDGET = 9;>@>...>@>public void onClick(DialogInterface dialog, int which) {>@>    switch (which) {>@>    ...>@>        case AddAdapter.ITEM_APPWIDGET: {>@>            ...>@>            int appWidgetId =>@>                    Launcher.this.mAppWidgetHost.allocateAppWidgetId();>@>            Intent pickIntent =>@>                    new Intent(AppWidgetManager.ACTION_APPWIDGET_PICK);>@>            pickIntent.putExtra>@>                    (AppWidgetManager.EXTRA_APPWIDGET_ID, appWidgetId);>@>            ...>@>            startActivityForResult(pickIntent, REQUEST_PICK_APPWIDGET);>@>            break;>@>    }>@>    ...>@>}"
1_14_3_0_0_0_0_0,1,>@>findViewById<TextView>(R.id.sample_text).apply {>@>    text = viewModel.userName>@>}>@>>@>
1_14_3_1_0_0_0_0,1,>@>findViewById<TextView>(R.id.sample_text).apply {>@>    text = viewModel.userName>@>}>@>>@>
1_14_3_4_0_1_1_0,1,">@>ObservableArrayMap<String, Object> user = new ObservableArrayMap<>();>@>user.put(""firstName"", ""Google"");>@>user.put(""lastName"", ""Inc."");>@>user.put(""age"", 17);>@>>@>"
1_14_3_4_0_2_0_0,1,>@>private static class User extends BaseObservable {>@>    private String firstName;>@>    private String lastName;>@>>@>    @Bindable>@>    public String getFirstName() {>@>        return this.firstName;>@>    }>@>>@>    @Bindable>@>    public String getLastName() {>@>        return this.lastName;>@>    }>@>>@>    public void setFirstName(String firstName) {>@>        this.firstName = firstName;>@>        notifyPropertyChanged(BR.firstName);>@>    }>@>>@>    public void setLastName(String lastName) {>@>        this.lastName = lastName;>@>        notifyPropertyChanged(BR.lastName);>@>    }>@>}>@>>@>
1_14_3_5_0_1_0_0,1,>@>@Override>@>protected void onCreate(Bundle savedInstanceState) {>@>    super.onCreate(savedInstanceState);>@>    MyLayoutBinding binding = MyLayoutBinding.inflate(getLayoutInflater());>@>}>@>>@>
1_14_3_5_0_1_0_0,1,">@>val binding: MyLayoutBinding = MyLayoutBinding.inflate(getLayoutInflater(), viewGroup, false)>@>>@>"
1_14_3_5_0_1_0_0,1,>@>val binding: MyLayoutBinding = MyLayoutBinding.bind(viewRoot)>@>>@>
1_14_3_6_0_1_2_0,1,">@>@BindingMethods({>@>       @BindingMethod(type = ""android.widget.ImageView"",>@>                      attribute = ""android:tint"",>@>                      method = ""setImageTintList""),>@>})>@>>@>"
1_14_3_6_0_1_3_0,1,">@>@BindingAdapter({""android:onViewDetachedFromWindow"", ""android:onViewAttachedToWindow""}, requireAll=false)>@>public static void setListener(View view, OnViewDetachedFromWindow detach, OnViewAttachedToWindow attach) {>@>    if (VERSION.SDK_INT >= VERSION_CODES.HONEYCOMB_MR1) {>@>        OnAttachStateChangeListener newListener;>@>        if (detach == null && attach == null) {>@>            newListener = null;>@>        } else {>@>            newListener = new OnAttachStateChangeListener() {>@>                @Override>@>                public void onViewAttachedToWindow(View v) {>@>                    if (attach != null) {>@>                        attach.onViewAttachedToWindow(v);>@>                    }>@>                }>@>                @Override>@>                public void onViewDetachedFromWindow(View v) {>@>                    if (detach != null) {>@>                        detach.onViewDetachedFromWindow(v);>@>                    }>@>                }>@>            };>@>        }>@>>@>        OnAttachStateChangeListener oldListener = ListenerUtil.trackListener(view, newListener,>@>                R.id.onAttachStateChangeListener);>@>        if (oldListener != null) {>@>            view.removeOnAttachStateChangeListener(oldListener);>@>        }>@>        if (newListener != null) {>@>            view.addOnAttachStateChangeListener(newListener);>@>        }>@>    }>@>}>@>>@>"
1_14_6_3_0_7_0_0,1,>@>viewTransactionsButton.setOnClickListener(new View.OnClickListener() {>@>    @Override>@>    public void onClick(View view) {>@>        Navigation.findNavController(view).navigate(R.id.viewTransactionsAction);>@>    }>@>});>@>>@>
